Rank,Player,Team,Position,Points,Games,Avg,Teams,Age,Height,College,Years in NFL
254,Cole Kmet,CHI,TE,61.2,17,3.6,CHI,23, 6-6,Notre Dame,2
255,Marquez Valdes-Scantling,GB,WR,61,11,5.6,GB,27, 6-4,University of South Florida,4
256,Henry Ruggs III,LV,WR,60.5,7,8.6,LV,23, 6-0,Alabama,2
257,Jordan Howard,PHI,RB,60.5,7,8.6,"CHI, PHI",27, 6-0,Indiana,6
258,Joshua Palmer,LAC,WR,59.9,15,4,LAC,22, 6-1,Tennessee,0
259,Alex Collins,SEA,RB,59.8,11,5.4,"SEA, BAL",27, 5-10,Arkansas,4
260,Riley Patterson,DET,K,59,7,8.4,DET,23, 6-0,Memphis,0
261,Zay Jones,LV,WR,58.9,15,3.9,"BUF, LV",26, 6-2,East Carolina,5
262,Olamide Zaccheaus,ATL,WR,58.8,15,3.9,ATL,24, 5-8,Virginia,3
263,Jamison Crowder,NYJ,WR,58.7,12,4.9,"WAS, NYJ",28, 5-9,Duke,7
264,Jauan Jennings,SF,WR,58.2,13,4.5,SF,24, 6-3,Tennessee,1
267,Rashod Bateman,BAL,WR,57.5,12,4.8,BAL,22, 6-1,Minnesota,0
268,Evan Engram,NYG,TE,56.5,15,3.8,NYG,27, 6-3,Mississippi,5
269,Michael Gallup,DAL,WR,56.5,9,6.3,DAL,26, 6-1,Colorado State,4
270,Zach Pascal,IND,WR,56.5,16,3.5,IND,27, 6-2,Old Dominion,4
271,Samaje Perine,CIN,RB,56.2,15,3.8,"WAS, MIA, CIN",26, 5-11,Oklahoma,5
272,DeSean Jackson,LV,WR,55.8,14,4,"PHI, WAS, TB, LAR, LV",35, 5-10,California,14
273,Tre'Quan Smith,NO,WR,55.7,10,5.6,NO,26, 6-2,UCF,4
274,Mo Alie-Cox,IND,TE,55.6,17,3.3,IND,28, 6-5,Virginia Commonwealth Univ.,4
275,Geno Smith,SEA,QB,55.3,4,13.8,"NYJ, NYG, LAC, SEA",31, 6-3,West Virginia,9
275,Foster Moreau,LV,TE,55.3,15,3.7,LV,24, 6-4,LSU,3
277,Rondale Moore,ARI,WR,55.1,14,3.9,ARI,21, 5-7,Purdue,0
278,Duke Johnson Jr.,MIA,RB,55.1,5,11,"CLE, HOU, MIA",28, 5-9,Miami,7
279,Matt Ammendola,NYJ,K,55,11,5,NYJ,25, 5-9,Oklahoma State,0
280,Austin Hooper,CLE,TE,54.5,15,3.6,"ATL, CLE",27, 6-4,Stanford,6
281,Dontrell Hilliard,TEN,RB,53.7,8,6.7,"CLE, HOU, TEN",27, 5-11,Tulane,4
282,Drew Lock,DEN,QB,52.8,6,8.8,DEN,25, 6-4,Missouri,3
283,Kenny Golladay,NYG,WR,52.1,14,3.7,"DET, NYG",28, 6-4,Northern Illinois,5
284,Mike White,NYJ,QB,52,4,13,"DAL, NYJ",26, 6-5,Western Kentucky,3
285,Jamal Agnew,JAC,WR,52,12,4.3,"DET, JAC",26, 5-10,San Diego,5
286,Josh Reynolds,DET,WR,51.6,11,4.7,"LAR, DET",27, 6-3,Texas A&M,5
287,Ameer Abdullah,CAR,RB,51.5,17,3,"DET, MIN, CAR",28, 5-8,Nebraska,7
288,T.Y. Hilton,IND,WR,51.1,10,5.1,IND,32, 5-10,Florida International,10
289,Keelan Cole Sr.,NYJ,WR,50.9,14,3.6,"JAC, NYJ",28, 6-1,Kentucky Wesleyan,5
290,Nico Collins,HOU,WR,50.6,14,3.6,HOU,22, 6-4,Michigan,0
291,Jack Doyle,IND,TE,50.2,15,3.4,IND,31, 6-6,Western Kentucky,10
292,Julio Jones,TEN,WR,49.4,10,4.9,"ATL, TEN",33, 6-3,Alabama,11
293,Laquon Treadwell,JAC,WR,49.4,12,4.1,"MIN, ATL, JAC",26, 6-2,Mississippi,4
294,David Johnson,HOU,RB,49.3,13,3.8,"ARI, HOU",30, 6-1,Northern Iowa,7
295,Allen Robinson II,CHI,WR,49,12,4.1,"JAC, CHI",28, 6-2,Penn State,8
